id,price,room_type,accommodates,bedrooms,beds,bathrooms,shared_bath,dist_center_km,neighbourhood,property_type,superhost,host_tenure_yrs,host_n_listings,n_reviews_ltm,is_new,minimum_nights,has_pool,has_hot_tub,has_ac,has_free_parking,has_gym,has_washer,has_ev_charger,has_workspace,pets_allowed,self_checkin
1307181,428,Entire home/apt,4,2,2,1,0,2.6488934906287924,78704,House,1,13.25,2,9,0,2,0,0,1,1,0,1,0,1,0,0
1645005892680157849,402,Entire home/apt,6,2,4,2,0,3.5929259578602264,78704,House,1,8.25,19,2,0,2,0,0,1,1,0,0,0,0,0,1
1507361949687368401,2142.9,Entire home/apt,16,20,30,14,0,5.947892042107388,78721,House,1,6.833333333333333,10,0,1,2,0,1,1,1,0,1,0,1,0,1
1640618920185229538,455.5,Entire home/apt,6,4,4,2,0,4.887728352215643,Other,House,1,4.166666666666667,2,1,0,2,0,0,1,1,0,1,1,1,1,1
1249956810576205504,325,Entire home/apt,16,6,9,3,0,5.759295006946897,78741,House,1,4.166666666666667,20,74,0,1,1,0,1,1,0,1,1,1,0,1
1198667475975753096,909.5,Entire home/apt,6,3,1,2,0,3.0781660096388723,78704,House,1,11.333333333333334,2,0,1,2,1,1,1,1,0,1,0,1,0,0
1494381249074278312,1464.6699999999998,Entire home/apt,10,5,5,3.5,0,2.8842652373527655,78703,House,0,1.75,1,0,1,3,1,1,1,1,1,1,0,1,0,0
18307247,1347,Entire home/apt,14,5,7,6,0,16.005135763533374,Other,House,0,9.583333333333334,2,0,0,1,0,0,1,1,0,1,0,0,1,1
1385208378085419102,227,Entire home/apt,4,2,2,2,0,5.966767719332061,78723,Apartment/Condo,1,1.1666666666666667,1,4,0,1,1,0,1,0,1,1,0,0,0,1
319759,577,Entire home/apt,16,5,9,3.5,0,1.213417502109526,78702,House,1,14.5,13,10,0,1,1,0,1,1,0,1,0,1,1,1
1219593542695254734,173,Private room,3,2,2,1.5,0,8.96569361877977,Other,House,0,5.083333333333333,1,7,0,2,1,0,1,1,1,1,0,1,0,1
1541335967489501571,96,Hotel/shared room,2,1,1,1,0,7.9720498087525415,78744,Hotel-like,0,1,22,0,1,1,1,0,1,1,1,0,0,1,1,1
1699329879379095031,165.5,Entire home/apt,4,2,2,2,0,11.142009626953806,Other,Apartment/Condo,1,9.416666666666666,15,0,1,2,0,0,1,1,0,1,0,1,1,0
1607466848964702666,254.64,Entire home/apt,6,2,2,2,0,12.544283055357079,Other,Apartment/Condo,0,2.1666666666666665,19,6,0,1,1,0,1,1,0,1,0,1,1,0
903605317681531843,355.2,Entire home/apt,6,2,3,2,0,1.087963506606226,78701,Apartment/Condo,1,7.333333333333333,7,59,0,1,1,0,1,1,1,1,1,1,0,1
1289384720486231445,434,Entire home/apt,6,3,3,2,0,11.59390899223926,78744,House,0,5,1,12,0,1,0,0,1,1,0,1,0,0,1,1
45749604,273.31,Entire home/apt,8,4,6,2,0,10.484431308654301,78758,House,0,5.666666666666667,5,10,0,2,0,0,1,1,0,1,0,1,1,1
721615513561400247,406.33,Entire home/apt,7,3,3,2,0,25.240161593101828,78734,House,1,4,1,12,0,2,0,0,1,1,0,1,0,0,0,1
879754766022298029,274,Entire home/apt,8,3,4,2,0,5.317154903543492,78751,House,1,9.75,33,20,0,1,0,0,1,1,0,1,0,1,0,1
17826920,159.76999999999998,Entire home/apt,4,1,1,1,0,2.9646068609802305,78702,Guesthouse/Guest suite,1,9.25,2,33,0,2,0,0,1,1,0,1,0,1,0,1
10015237,198,Entire home/apt,4,1,2,1,0,1.4514955112334729,78703,Apartment/Condo,0,8.75,1,0,0,2,0,0,1,1,0,1,0,0,0,1
1483673179778861991,284,Entire home/apt,12,3,6,2,0,4.454944926581889,78721,House,0,3.75,31,21,0,1,0,0,1,1,0,1,0,1,0,1
1077069518877001671,259.67,Entire home/apt,2,1,1,1,0,3.827369517643719,78704,Guesthouse/Guest suite,1,2.3333333333333335,1,25,0,3,1,0,1,1,0,0,0,0,0,1
1672515305657261659,1066,Entire home/apt,16,8,10,5,0,3.5813587870386048,78702,House,1,2.0833333333333335,3,0,1,1,0,0,1,1,0,1,0,1,0,0
1404464292332460686,416.33,Private room,6,2,3,2,0,0.8644773682546969,78701,Hotel-like,0,3,60,0,1,3,1,0,1,1,1,1,0,0,0,0
939842203198381785,423,Entire home/apt,5,2,2,2.5,0,3.3491087231357604,78704,House,1,2.9166666666666665,1,25,0,1,0,0,1,1,0,1,0,1,1,1
517430,183,Entire home/apt,4,1,2,1,0,2.827396712855423,78705,Apartment/Condo,1,14,1,10,0,2,0,0,1,1,0,0,0,1,0,0
53825218,243.51,Entire home/apt,8,3,3,2.5,0,1.8409491122783166,78702,House,1,4.666666666666667,47,26,0,2,1,0,1,1,0,1,0,1,1,1
1195009225102390869,744,Entire home/apt,12,6,7,4,0,3.4547211160887867,78704,House,0,10.333333333333334,3,10,0,2,1,0,1,1,0,1,0,0,0,1
651502963166653385,234.5,Entire home/apt,10,4,7,2.5,0,11.652869871207912,78758,House,1,3.9166666666666665,1,42,0,2,0,0,1,1,0,1,0,1,1,1
1669592677129802097,1400.6699999999998,Hotel/shared room,4,1,2,1,0,1.9752223417939487,78704,Hotel-like,0,0.16666666666666666,47,0,1,1,1,0,1,0,1,0,1,1,1,1
1602298063547882792,161.28,Entire home/apt,4,1,2,1,0,5.814131142402317,78704,Apartment/Condo,1,4.5,178,0,1,1,1,0,1,0,0,1,0,0,1,1
1422595065718686673,1063,Entire home/apt,10,4,5,3.5,0,3.862499954615554,78704,House,1,10.333333333333334,41,22,0,1,1,1,1,1,0,1,0,1,0,1
725528434101925924,456.6,Entire home/apt,4,3,2,2.5,0,6.476689328518543,78723,House,0,3.6666666666666665,1,0,0,4,0,0,1,0,0,1,0,1,0,1
1519088416453103564,625,Entire home/apt,14,4,7,3,0,8.195848562466225,78745,House,1,2,3,31,0,1,1,1,1,1,0,1,0,1,0,1
1700787023410063131,217,Entire home/apt,2,1,1,1,0,15.421805573024077,Other,Apartment/Condo,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1
889840172523367752,275,Entire home/apt,5,1,3,1,0,0.7073841044797875,78701,House,0,4.25,37,1,0,1,0,0,1,1,0,0,0,1,0,1
2529203,369,Entire home/apt,6,2,2,1,0,3.327894514366981,78704,House,0,12.25,1,0,0,2,0,0,1,1,0,1,0,0,0,0
1205004130123723189,168,Entire home/apt,6,2,2,1,0,4.003347378117988,78741,Apartment/Condo,0,8.666666666666666,53,25,0,1,1,0,1,1,0,1,1,1,1,1
1278532,223,Entire home/apt,2,1,1,1,0,2.5746815888325654,78702,Guesthouse/Guest suite,1,13.833333333333334,7,30,0,1,0,0,1,1,0,1,0,1,0,1
652200769592366305,728,Entire home/apt,13,4,8,3,0,7.074881716834938,78745,House,1,3.9166666666666665,1,61,0,1,1,1,1,1,0,1,0,1,1,1
17907547,127.66999999999999,Entire home/apt,2,1,1,1,0,5.591843373723432,78704,Apartment/Condo,1,11.416666666666666,4,22,0,3,0,0,1,1,0,0,0,0,0,1
665355336705010391,337,Entire home/apt,4,2,2,1,0,6.127399206681512,78721,House,1,14.333333333333334,3,4,0,2,1,0,1,1,0,1,1,0,0,1
571098194435518545,162.33,Entire home/apt,5,2,2,1.5,0,11.002361969777914,78757,Apartment/Condo,0,4.25,3,16,0,3,0,0,1,1,0,1,0,1,1,1
1360631788955768326,219,Entire home/apt,6,3,3,1,0,7.088916955241676,78757,House,0,4.416666666666667,2,63,0,2,1,0,1,1,0,1,0,1,0,1
844958445938803664,461.5,Entire home/apt,8,3,4,3,0,1.6130436936182249,78703,Hotel-like,1,3.6666666666666665,30,0,1,2,1,0,1,0,1,1,0,1,0,1
1532220999636160314,137,Entire home/apt,3,1,2,1,0,7.533574011751906,78752,Apartment/Condo,1,2.25,4,7,0,2,0,0,1,1,0,1,0,0,0,1
52427472,656.5,Entire home/apt,12,5,11,2,0,1.9915346623569392,78702,House,1,15.25,1,23,0,2,0,0,1,1,0,1,0,1,1,1
1571440331657920252,190.43,Entire home/apt,8,3,3,2,0,22.405628311178212,78734,House,0,0.08333333333333333,1,2,0,2,0,0,1,1,0,1,0,0,0,1
1518351550280028249,143,Entire home/apt,2,1,1,1,0,0.8768834041499973,78701,Apartment/Condo,1,11.666666666666666,10,13,0,2,0,0,1,1,0,1,0,1,1,1
27250780,564.88,Entire home/apt,12,3,7,2.5,0,8.519279013534954,78744,House,1,7.75,7,50,0,1,0,0,1,1,0,1,0,1,1,1
1075470962308630706,126,Entire home/apt,3,2,2,2.5,0,11.392640312947607,Other,House,0,2.3333333333333335,1,0,0,1,1,1,1,0,0,1,0,0,0,0
52516752,303,Entire home/apt,14,4,8,2,0,8.644670296296013,78745,House,1,4.666666666666667,1,45,0,1,0,0,1,1,0,1,0,1,1,1
1469711232845301752,377.5,Private room,4,1,2,1,0,0.8237955456880093,78701,Hotel-like,1,1.1666666666666667,8,0,1,2,1,1,1,0,0,0,0,1,0,1
1057200682280681072,726.5,Entire home/apt,10,4,5,2,0,26.035296020863136,78737,House,1,12,17,6,0,1,1,0,1,1,0,1,0,0,1,1
727100539183764847,27.5,Entire home/apt,16,12,1,2,0,7.678404935509714,78745,Unique/other,1,14.416666666666666,22,1,0,2,0,0,0,1,0,0,0,0,0,0
1264530740225775071,580,Entire home/apt,13,4,11,2.5,0,8.606331343144737,78744,House,1,6.333333333333333,5,11,0,1,1,0,1,1,0,1,0,1,1,0
5673145,264,Entire home/apt,4,2,2,2,0,4.3750158501188965,78751,House,1,11.333333333333334,7,20,0,1,0,0,1,1,0,1,0,0,1,0
1656114789444881311,416,Entire home/apt,10,4,5,2.5,0,3.3942703018042333,78702,House,1,2.0833333333333335,3,6,0,1,0,0,1,1,0,1,0,1,0,0
1340929515765262185,932,Entire home/apt,16,5,8,3,0,4.250085853007382,78704,House,1,2,3,33,0,1,1,1,1,1,0,1,0,1,0,1
958463106237551765,270,Entire home/apt,10,3,7,2,0,4.895840964133746,78704,House,1,8.916666666666666,6,29,0,1,0,0,1,1,0,1,0,1,1,1
1582874737019043888,650.4,Entire home/apt,4,2,2,2,0,4.665017190827793,78704,Apartment/Condo,1,4.5,178,0,1,1,1,0,1,0,0,1,0,0,1,1
979821571502035707,172,Entire home/apt,6,2,4,2,0,4.648320880108459,78741,Apartment/Condo,1,2.75,1,21,0,1,1,0,1,1,0,1,0,0,1,0
1588547314772753931,253,Entire home/apt,4,2,2,2,0,2.3118847726431637,78702,House,1,1.6666666666666665,6,2,0,1,0,0,1,1,0,1,0,1,0,0
48381730,203.5,Entire home/apt,4,1,2,1,0,0.7679483395818422,78701,Apartment/Condo,1,5.25,23,0,0,2,1,0,1,0,1,1,0,1,0,1
1702607552603655642,257,Entire home/apt,8,3,5,2,0,6.43110952935058,Other,House,1,1.25,19,2,0,1,0,0,1,1,0,1,1,1,1,1
1149145259090139246,177,Entire home/apt,5,2,3,1,0,2.363582023331196,78722,House,0,2.0833333333333335,1,0,1,2,0,0,1,1,0,1,0,1,0,1
988978442176329791,367,Entire home/apt,4,1,2,1,0,0.594386147841311,78701,Apartment/Condo,1,2.75,26,0,1,1,1,0,1,0,1,1,0,0,0,1
5539034,140,Entire home/apt,6,2,3,1,0,3.3025979406075225,78702,House,1,11.25,2,8,0,2,0,0,1,1,0,0,0,0,1,1
1183519350416360790,196,Entire home/apt,5,2,3,1,0,4.930928827559379,78721,Unique/other,1,1.9166666666666665,1,74,0,1,0,0,1,1,0,1,0,1,0,1
974712064299290750,562,Entire home/apt,6,3,3,2.5,0,12.94677283656471,Other,House,1,2.4166666666666665,1,17,0,2,1,0,1,1,1,1,0,1,1,1
1268294964549965560,418.33,Entire home/apt,8,3,5,2.5,0,7.2819543846085715,78723,House,0,10.666666666666666,1,0,1,2,1,0,1,1,0,1,0,1,1,0
1574953740117872996,1397,Entire home/apt,6,4,4,4.5,0,4.752161439987018,78703,House,0,0.5,1,2,0,2,1,1,1,1,0,1,0,1,0,0
1443618150779468216,385,Entire home/apt,9,4,5,2.5,0,11.183347783628117,78758,House,1,2.4166666666666665,2,31,0,1,0,0,1,1,0,1,0,0,0,1
789925889015027116,100,Entire home/apt,2,1,1,1,0,9.1817404518755,78744,Guesthouse/Guest suite,1,10.25,2,100,0,1,0,0,1,1,0,0,0,1,0,1
1050112381671427855,382,Entire home/apt,4,1,2,1,0,1.9679448535478128,78701,Apartment/Condo,1,8.833333333333334,38,4,0,1,1,0,1,0,1,1,1,1,0,1
1441366131164896675,416.33,Private room,6,2,3,2,0,0.6692769243469354,78701,Hotel-like,0,3,60,0,1,3,1,0,1,0,1,1,0,0,0,0
1239857448812422095,402,Entire home/apt,8,3,5,2,0,16.44271801353505,Other,House,1,9,1,52,0,1,1,0,1,1,0,1,0,1,1,1
965940011486580805,432,Entire home/apt,6,3,3,2,0,4.808702223300925,78721,House,0,2.75,1,0,0,1,0,0,1,1,0,1,1,1,0,1
54409363,945.3499999999999,Entire home/apt,10,4,5,3,0,23.62861022848961,78734,House,0,7.083333333333333,5,0,0,2,1,1,1,1,0,1,0,0,1,1
1624003617008903687,119,Entire home/apt,5,2,3,2,0,18.367000367906506,78729,Apartment/Condo,1,0.3333333333333333,1,32,0,1,1,0,1,1,0,1,0,1,0,1
853084842779149733,418,Entire home/apt,10,4,4,2,0,13.225326199391096,Other,House,1,4.916666666666667,6,17,0,1,0,0,1,1,0,1,0,0,0,1
52410917,148.35000000000002,Entire home/apt,2,1,1,1,0,4.0678054566556545,78704,Guesthouse/Guest suite,1,4.666666666666667,1,47,0,1,0,0,1,1,0,0,0,1,1,1
1350146974270667988,143.5,Entire home/apt,2,1,1,1,0,1.4754910182941312,78703,Apartment/Condo,1,5.583333333333333,6,39,0,2,0,0,1,1,0,1,0,0,0,1
46258412,300,Entire home/apt,9,3,4,1,0,3.5239275683775735,78702,House,0,5.583333333333333,1,0,0,2,1,0,1,1,0,1,0,0,1,1
